SCode	CCode  	AVG
SE1501	PRF201 	6.5
SE1502	CSD201  8.4
SE1503	PRF192 	9.1 	
SE1504	JAV101 	4.3
SE1505	ENG001 	3.2
SE1506	ENG002 	2.8
SE1507	MAT001 	1.4
SE1504	JAV101 	4.3
SE1505	ENG001 	3.2
SE1506	ENG002 	2.8
SE1507	MAT001 	1.4
SE1504	JAV101 	4.3
SE1505	ENG001 	3.2
SE1506	ENG002 	2.8
SE1507	MAT001 	1.4
SE1501	PRF201 	6.5
SE1502	CSD201  8.4
SE1503	PRF192 	9.1 	
SE1504	JAV101 	4.3
SE1505	ENG001 	3.2
SE1506	ENG002 	2.8
SE1507	MAT001 	1.4
SE1504	JAV101 	4.3
SE1505	ENG001 	3.2
SE1506	ENG002 	2.8
SE1507	MAT001 	1.4
SE1504	JAV101 	4.3
SE1505	ENG001 	3.2
SE1506	ENG002 	2.8
SE1507	MAT001 	1.4
SE1501	PRF201 	6.5
SE1502	CSD201  8.4
SE1503	PRF192 	9.1 	
SE1504	JAV101 	4.3
SE1505	ENG001 	3.2
SE1506	ENG002 	2.8
SE1507	MAT001 	1.4
SE1504	JAV101 	4.3
SE1505	ENG001 	3.2
SE1506	ENG002 	2.8
SE1507	MAT001 	1.4
SE1504	JAV101 	4.3
SE1505	ENG001 	3.2
SE1506	ENG002 	2.8
SE1507	MAT001 	1.4
SE1501	PRF201 	6.5
SE1502	CSD201  8.4
SE1503	PRF192 	9.1 	
SE1504	JAV101 	4.3
SE1505	ENG001 	3.2
SE1506	ENG002 	2.8
SE1507	MAT001 	1.4
SE1504	JAV101 	4.3
SE1505	ENG001 	3.2
SE1506	ENG002 	2.8
SE1507	MAT001 	1.4
SE1504	JAV101 	4.3
SE1505	ENG001 	3.2
SE1506	ENG002 	2.8
SE1507	MAT001 	1.4
